period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative,scenario,haircut_bps,break_even_monthly_bps
pre_2015,Profitability+Momentum,size_balanced:gross,1990-12,2015-06,295,0.03014518402137778,0.019061595111627305,0.011083588909750475,0.04985288135593219,0.20241235271464286,0.10792011597813674,-0.582734044354192,-0.5809621481292239,0.1988136164151242,0.5050847457627119,1.010842484421159,-0.009944872881355923,0.03623496610169491,0.8544,1.075327135375105,gross,0,9.017907338070746
pre_2015,Profitability+Momentum,size_balanced:base,1990-12,2015-06,295,0.01685532520481048,0.019061595111627305,-0.0022062699068168268,0.03687661016949151,0.20247406908844942,0.04406524570426946,-0.6058838372520361,-0.5809621481292239,-0.010936839906264413,0.4745762711864407,-0.05567445183212497,-0.022921144067796613,0.023218499999999986,0.4686,0.5081846993103745,base,20,9.017907338070746
pre_2015,Profitability+Momentum,size_balanced:double,1990-12,2015-06,295,0.003721800006570186,0.019061595111627305,-0.015339795105057119,0.02390033898305083,0.20254020975463297,-0.01975040677386877,-0.6277749052048678,-0.5809621481292239,-0.22019377080673525,0.45084745762711864,-1.122398081020769,-0.035897415254237286,0.010201550847457604,0.1182,0.09562437888512632,double,40,9.017907338070746
pre_2015,Value+Profitability+Momentum,size_balanced:gross,1990-12,2015-06,295,0.0368002737559987,0.019061595111627305,0.017738678644371397,0.0562257627118644,0.20219931162718288,0.13942210392703863,-0.6074419912786233,-0.5809621481292239,0.31705522750255477,0.5254237288135594,1.489201794846486,-0.004110949152542371,0.042761559322033876,0.9424,1.431296660727337,gross,0,14.390163178308168
pre_2015,Value+Profitability+Momentum,size_balanced:base,1990-12,2015-06,295,0.027193081678827502,0.019061595111627305,0.008131486567200197,0.04692406779661016,0.20228660471616994,0.09357005972877505,-0.6234085941222798,-0.5809621481292239,0.1588166934306162,0.49830508474576274,0.7471309790252343,-0.013458288135593216,0.03344059322033895,0.7842,0.9339583039153985,base,20,14.390163178308168
pre_2015,Value+Profitability+Momentum,size_balanced:double,1990-12,2015-06,295,0.017665838781123266,0.019061595111627305,-0.0013957563305040388,0.037622372881355934,0.20238176524510354,0.04775559249938761,-0.6387411030359816,-0.5809621481292239,0.00115793365638435,0.47796610169491527,0.005457316538307511,-0.02271410169491526,0.024134322033898294,0.5006,0.5380167848486122,double,40,14.390163178308168
pre_2015,Value,big_only:gross,1990-12,2015-06,295,0.05131361828356562,0.019061595111627305,0.032252023171938315,0.07144677966101695,0.2089225061895643,0.20776232954275542,-0.5828386376644679,-0.5809621481292239,0.43055318378211943,0.5694915254237288,1.9948706416706479,0.004298542372881354,0.06759061016949154,0.9888,2.421780382943024,gross,0,25.994333764295316
pre_2015,Value,big_only:base,1990-12,2015-06,295,0.04924574217912592,0.019061595111627305,0.030184147067498612,0.0694942372881356,0.20903322625106371,0.19833792776581366,-0.5871102357051796,-0.5809621481292239,0.4053414221970019,0.5661016949152542,1.8797077333728867,0.0023014576271186385,0.06565464406779661,0.9824,2.260104703741218,base,20,25.994333764295316
pre_2015,Value,big_only:double,1990-12,2015-06,295,0.04717775706729754,0.019061595111627305,0.028116161955670238,0.06754169491525425,0.2091610980349015,0.1889080985381161,-0.591346783879463,-0.5809621481292239,0.37996092355707384,0.5661016949152542,1.7641608462497813,0.00027244067796610116,0.06368593220338982,0.9764,2.1057635204218803,double,40,25.994333764295316
pre_2015,Profitability,big_only:gross,1990-12,2015-06,295,0.02018229409398442,0.019061595111627305,0.0011206989823571156,0.03753762711864406,0.18871029264452613,0.05084985722816584,-0.652041694407318,-0.5809621481292239,-0.00033060286483192384,0.49830508474576274,-0.001557290658725665,-0.02130345762711866,0.021670474576271165,0.4898,0.6342887936119166,gross,0,0.916098469967222
