Date,M,V,P,VP,BV,BP,BVP,Mom,BMom,VM,VPM,VPM_intersection,BVM,BVPM,BVPM_intersection
2002-07,-0.0589,-0.02835,-0.03245,-0.033100000000000004,-0.041525,-0.044225,-0.032,-0.035100000000000006,-0.07200000000000001,-0.031725,-0.03196666666666667,-0.034100000000000005,-0.05676250000000001,-0.052583333333333336,-0.052000000000000005
2002-08,-0.012799999999999999,-0.0236625,-0.01845,-0.030100000000000002,-0.023600000000000003,-0.020925,-0.0345,-0.01795,-0.0203,-0.02080625,-0.02002083333333333,-0.024025,-0.02195,-0.02160833333333333,-0.0274
2002-09,-0.04800000000000001,-0.032350000000000004,-0.055325,-0.04515,-0.01455,-0.06340000000000001,-0.0262,-0.05045,-0.047400000000000005,-0.041400000000000006,-0.04604166666666667,-0.0478,-0.030975000000000003,-0.04178333333333334,-0.0368
2002-10,-0.0663,-0.0938375,-0.0756375,-0.1073,-0.11325,-0.06315,-0.1211,-0.054849999999999996,-0.0362,-0.07434375,-0.074775,-0.08107500000000001,-0.074725,-0.07086666666666668,-0.07865
2002-11,0.0315,-0.012649999999999998,0.007349999999999999,0.017349999999999997,0.0027249999999999983,0.03895,0.044199999999999996,0.0133,0.041299999999999996,0.00032500000000000064,0.0026666666666666666,0.015324999999999998,0.022012499999999997,0.02765833333333333,0.042749999999999996
2002-12,-0.0231,-0.0038000000000000013,-0.0167875,-0.0218,-0.015225000000000002,-0.028225,-0.0437,-0.0006000000000000001,-0.0044,-0.0022000000000000006,-0.0070625,-0.0112,-0.009812500000000002,-0.015950000000000002,-0.024050000000000002
2003-01,-0.0331,0.016925,0.0106625,0.04825,-0.009225,-0.010675,0.0311,-0.010149999999999998,-0.042199999999999994,0.0033875000000000008,0.005812500000000001,0.01905,-0.0257125,-0.0207,-0.005549999999999998
2003-02,0.0155,0.0703375,0.0553,0.09480000000000001,0.065775,0.059375000000000004,0.13140000000000002,0.0413,0.030600000000000002,0.05581875,0.05564583333333334,0.06805,0.0481875,0.051916666666666667,0.08100000000000002
2003-03,-0.028300000000000002,0.0016625000000000008,-0.014487499999999999,-0.020499999999999997,-0.0010999999999999968,-0.0289,-0.035699999999999996,-0.00765,-0.0218,-0.0029937499999999994,-0.006824999999999999,-0.014074999999999999,-0.011449999999999998,-0.017266666666666666,-0.028749999999999998
2003-04,0.0119,0.04387500000000001,0.04957500000000001,0.052750000000000005,0.012,0.03485,0.0134,0.0449,0.0449,0.04438750000000001,0.046116666666666674,0.04882500000000001,0.028450000000000003,0.030583333333333334,0.029150000000000002
2003-05,0.0462,0.07454999999999999,0.058524999999999994,0.07855,0.043025,0.030824999999999998,0.0335,0.0323,0.0137,0.053425,0.055125,0.055425,0.0283625,0.029183333333333335,0.023600000000000003
2003-06,0.0722,0.13952499999999998,0.11831249999999999,0.21295,0.13505,0.107075,0.23120000000000002,0.051449999999999996,0.06269999999999999,0.09548749999999999,0.10309583333333332,0.13219999999999998,0.09887499999999999,0.10160833333333334,0.14695
2003-07,0.0354,0.0142375,0.0142375,0.00245,0.027275,0.01415,0.0028000000000000004,0.0199,0.0184,0.01706875,0.016125,0.011175000000000001,0.0228375,0.019941666666666667,0.0106
